Fish ID,Trial,Fish Species,Tank Position,Pair treatment,Fish length (mm),Fish weight (g),Pellets eaten per dyad 18C,Pellets eaten per fish 18C,Pellets by species 18C,First to feed (y/n) 18C,Feeding latency (s) 18C,Feeding latency censor 18C,Position at start 18C,Bumps 18C,Chases 18C,Pellets eaten per dyad 20C,Pellets eaten per fish 20C,Pellets by species 20C,First to feed (y/n) 20C,Feeding latency (s) 20C,Feeding latency censor 20C,Position at start 20C,Bumps 20C,Chases 20C,Pellets eaten per dyad 22C,Pellets eaten per fish 22C,Pellets by Species 22C,First to feed (y/n) 22C,Feeding latency (s) 22C,Feeding latency censor 22C,Position at start 22C,Bumps 22C,Chases 22C
T3CC1Mid3CC,3,Creek Chub,Mid3,CC,158,38.8,3,1.5,,,114,Uncensored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0
T3CC2Mid3CC,3,Creek Chub,Mid3,CC,154,29.4,3,1.5,,,114,Uncensored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0
T4CC1Top1CC,4,Creek Chub,Top1,CC,134,24.6,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,14,7,,,1,Uncensored,Hide,0,0
T4CC2Top1CC,4,Creek Chub,Top1,CC,133,24.2,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,14,7,,,1,Uncensored,Hide,0,0
T4CC1Mid2CC,4,Creek Chub,Mid2,CC,138,23.8,0,0,,,300,Censored,Hide,0,0,1,0.5,,,112,Uncensored,Hide,0,0,0,0,,,300,Censored,Hide,0,0
T4CC2Mid2CC,4,Creek Chub,Mid2,CC,141,26.5,0,0,,,300,Censored,Hide,0,0,1,0.5,,,112,Uncensored,Hide,0,0,0,0,,,300,Censored,Hide,0,0
T4CC1Bot3CC,4,Creek Chub,Bot3,CC,157,38.2,8,4,,,26,Uncensored,Top,0,0,0,0,,,300,Censored,Bottom,0,0,9,4.5,,,6,Uncensored,Hide,0,0
T4CC2Bot3CC,4,Creek Chub,Bot3,CC,151,29,8,4,,,26,Uncensored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,9,4.5,,,6,Uncensored,Hide,0,0
T5CC1Mid1CC,5,Creek Chub,Mid1,CC,132,22,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0
T5CC2Mid1CC,5,Creek Chub,Mid1,CC,135,23.4,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0
T5CC1Bot2CC,5,Creek Chub,Bot2,CC,142,26.2,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,2,1,,,262,Uncensored,Hide,0,0
T5CC2Bot2CC,5,Creek Chub,Bot2,CC,141,31.2,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,2,1,,,262,Uncensored,Hide,0,0
T5CC1Top3CC,5,Creek Chub,Top3,CC,152,32.4,1,0.5,,,72,Uncensored,Hide,0,0,,,,,,,,,,,,,,,,,,
T5CC2Top3CC,5,Creek Chub,Top3,CC,148,30,1,0.5,,,72,Uncensored,Hide,0,0,,,,,,,,,,,,,,,,,,
T6CC1Mid1CC,6,Creek Chub,Mid1,CC,145,28.7,15,7.5,,,2,Uncensored,Top,0,0,3,1.5,,,34,Uncensored,Hide,0,0,14,7,,,66,Uncensored,Hide,0,0
T6CC2Mid1CC,6,Creek Chub,Mid1,CC,144,25.4,15,7.5,,,2,Uncensored,Top,0,0,3,1.5,,,34,Uncensored,Hide,0,0,14,7,,,66,Uncensored,Hide,0,0
T6CC1Bot2CC,6,Creek Chub,Bot2,CC,144,26.9,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0
T6CC2Bot2CC,6,Creek Chub,Bot2,CC,149,30.8,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0
T6CC1Top3CC,6,Creek Chub,Top3,CC,130,19.8,15,7.5,,,12,Uncensored,Top,0,1,8,4,,,7,Uncensored,Hide,0,0,15,7.5,,,69,Uncensored,Top,0,2
T6CC2Top3CC,6,Creek Chub,Top3,CC,136,28.9,15,7.5,,,12,Uncensored,Top,0,1,8,4,,,7,Uncensored,Hide,0,0,15,7.5,,,69,Uncensored,Top,0,2
T7CC1Mid1CC,7,Creek Chub,Mid1,CC,157,38.9,0,0,,,300,Censored,Hide,0,0,15,7.5,,,1,Uncensored,Bottom,0,10,13,6.5,,,115,Uncensored,Hide,0,7
T7CC2Mid1CC,7,Creek Chub,Mid1,CC,162,43,0,0,,,300,Censored,Hide,0,0,15,7.5,,,1,Uncensored,Hide,0,10,13,6.5,,,115,Uncensored,Hide,0,7
T7CC1Top2CC,7,Creek Chub,Top2,CC,160,38.4,0,0,,,300,Censored,Hide,0,0,2,1,,,278,Uncensored,Hide,0,0,5,2.5,,,45,Uncensored,Hide,0,2
T7CC2Top2CC,7,Creek Chub,Top2,CC,163,39.3,0,0,,,300,Censored,Hide,0,0,2,1,,,278,Uncensored,Hide,0,0,5,2.5,,,45,Uncensored,Hide,0,2
T7CC1Bot3CC,7,Creek Chub,Bot3,CC,164,37.8,0,0,,,300,Censored,Hide,0,0,12,6,,,66,Uncensored,Hide,0,0,1,0.5,,,64,Uncensored,Hide,0,0
T7CC2Bot3CC,7,Creek Chub,Bot3,CC,164,37.1,0,0,,,300,Censored,Hide,0,0,12,6,,,66,Uncensored,Hide,0,0,1,0.5,,,64,Uncensored,Hide,0,0
